US Future/美國期貨,,,,,,,,"需要更多產品請聯繫客服或官網查詢
客服：https://t.me/iticksupport
官網：https://itick.org"
NYMEX,CRG,Gulf Coast CBOB Gasoline A2 (Platts) Futures,墨西哥湾沿岸 CBOB 汽油 A2（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CS1,Container Freight (China/East Asia to US West Coast) (FBX01) (Baltic) Futures,集装箱货运（中国/东亚至美国西海岸）（FBX01）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CS2,Container Freight (US West Coast to China/East Asia) (FBX02) (Baltic) Futures,集装箱货运（美国西海岸至中国/东亚）（FBX02）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CS3,Container Freight (China/East Asia to US East Coast) (FBX03) (Baltic) Futures,集装箱货运（中国/东亚至美国东海岸）（FBX03）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CS4,Container Freight (China/East Asia to North Europe) (FBX11) (Baltic) Futures,集装箱货运（中国/东亚至北欧）（FBX11）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CS6,Container Freight (China/East Asia to Mediterranean) (FBX13) (Baltic) Futures,集装箱货运（中国/东亚至地中海）（FBX13）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CSX,WTI Financial Futures,WTI 金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,CY,Brent Financial Futures,布伦特金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,D1N,Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures,新加坡 Mogas 92 无铅（普氏）布伦特原油裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,D2L,NYISO Zone G Day-Ahead Off-Peak Calendar-Month 5 MW Futures,NYISO G 区日前非高峰日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,D3L,NYISO Zone J Day-Ahead Peak Calendar-Month 5 MW Futures,NYISO J 区日前峰值日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,D4L,NYISO Zone J Day-Ahead Off-Peak Calendar-Month 5 MW Futures,NYISO J 区日前非高峰日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,D7L,PJM AEP Dayton Hub Day-Ahead LMP Peak Calendar-Month 5 MW Futures,PJM AEP 代顿中心日前 LMP 峰值日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DAB,Bakken DAPL (EMDA) Monthly Futures,巴肯 DAPL (EMDA) 月度期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DAZ,CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Day Day-Ahead LMP Futures,CAISO SP15 EZ Gen Hub 5 MW 峰值日历日日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DBB,Dated Brent (Platts) BALMO Futures,即期布伦特（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DBL,Mini Dubai Crude Oil (Platts) Futures,迷你迪拜原油（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DBT,Mini Dubai Crude Oil (Platts) BALMO Futures,小型迪拜原油（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DCL,Daily WTI Financial Futures,每日 WTI 金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DEB,German Power Baseload Calendar Month Futures,德国电力基荷日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DEP,German Power Peakload Calendar Month Futures,德国电力峰值负荷日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DHA,CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Futures,CAISO SP15 EZ Gen Hub 5 MW 峰值日历日实时 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DTF,Dutch TTF Natural Gas Financial Day-Ahead/Weekend (ICIS Heren) Daily Futures,荷兰 TTF 天然气金融日前/周末 (ICIS Heren) 每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,DTH,Dutch TTF Natural Gas Physical Day-Ahead/Weekend (ICIS Heren) Daily Futures,荷兰 TTF 天然气实物日前/周末 (ICIS Heren) 每日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,E4L,PJM Western Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,PJM Western Hub 日前非高峰日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,E6,Japan C&F Naphtha (Platts) BALMO Futures,日本 C&F 石脑油（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,E6M,Mini Japan C&F Naphtha (Platts) BALMO Futures,小型日本 C&F 石脑油（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,E9X,CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Month Day-Ahead LMP Futures,CAISO SP15 EZ Gen Hub 5 MW 峰值日历月日前 LMP 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EAA,ERCOT Houston 345 kV Hub Day-Ahead 5 MW Off-Peak Futures,ERCOT 休斯顿 345 kV 集线器日前 5 MW 非高峰期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EAB,ERCOT South 345 kV Hub Day-Ahead 5 MW Off-Peak Futures,ERCOT South 345 kV Hub 日前 5 MW 非高峰期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EAC,ERCOT North 345 kV Hub Day-Ahead 5 MW Peak Futures,ERCOT North 345 kV Hub 日前 5 MW 峰值期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EAE,ERCOT Houston 345 kV Hub Day-Ahead 5 MW Off-Peak Calendar-Day Futures,ERCOT 休斯顿 345 kV 集线器日前 5 MW 非高峰日历日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EAW,ERCOT West 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day Futures,ERCOT West 345 kV Hub 日前 5 MW 峰值日历日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EBE,1% Fuel Oil Barges FOB Rdam (Platts) vs. 1% Fuel Oil Cargoes FOB NWE (Platts) BALMO Futures,1% 燃油驳船 FOB Rdam（普氏能源资讯）与 1% 燃油货物 FOB NWE（普氏能源资讯） BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ECF,European Union Allowance (EUA) Futures,欧盟津贴 (EUA) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EFF,European 3.5% Fuel Oil Cargoes FOB MED (Platts) BALMO Futures,欧洲 3.5% 燃料油 FOB MED（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EFM,European 1% Fuel Oil Cargoes FOB MED (Platts) Futures,欧洲 1% 燃料油 FOB MED（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EGB,Gasoline Euro-bob Oxy NWE Barges (Argus) vs European Naphtha CIF NWE (Platts) BALMO Futures,汽油 Euro-bob Oxy NWE 驳船（阿格斯）与欧洲石脑油 CIF NWE（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EGN,Gasoline Euro-bob Oxy NWE Barges (Argus) vs European Naphtha CIF NWE (Platts) Futures,汽油 Euro-bob Oxy NWE 驳船（阿格斯）与欧洲石脑油 CIF NWE（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EJL,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Off-Peak Calendar-Month 5 MW Futures,MISO 印第安纳中心（原 Cinergy 中心）实时非高峰日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EL,Denatured Fuel Ethanol Futures,变性燃料乙醇期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EL1,European Diesel 10ppm Barges FOB ARA (Platts) vs. NY Harbor ULSD Futures,欧洲柴油 10ppm 驳船 FOB ARA（普氏能源资讯）与纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EMC,ERCOT Daily Load Forecast Futures,ERCOT 日负荷预测期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EN,European Naphtha (Platts) Crack Spread Futures,欧洲石脑油（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ENP,ERCOT South 345 kV Hub Day-Ahead 5 MW Off-Peak Calendar-Day Futures,ERCOT South 345 kV Hub 日前 5 MW 非高峰日历日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ENS,European 1% Fuel Oil Cargoes FOB MED vs. European 1% Fuel Oil Cargoes FOB NWE Spread (Platts) Futures,欧洲 1% 燃油货物 FOB MED 与欧洲 1% 燃油货物 FOB NWE 价差（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EO1,ULSD 10ppm Cargoes CIF NWE (Platts) vs. New York Harbor ULSD Futures,ULSD 10ppm 货物 CIF NWE（普氏）与纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EOB,Argus Gasoline Eurobob Oxy Barges NWE Crack Spread (1000mt) Futures,阿格斯汽油 Eurobob Oxy Barges NWE 裂解价差（1000 吨）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EP1,ULSD 10ppm Cargoes CIF Med (Platts) vs. New York Harbor ULSD Futures,ULSD 10ppm 货物 CIF Med (Platts) 与纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EPN,European Propane CIF ARA (Argus) vs. Naphtha Cargoes CIF NWE (Platts) Futures,欧洲丙烷 CIF ARA（阿格斯）与石脑油货物 CIF NWE（普氏能源资讯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ERL,ERCOT North 345 kV Hub Day-Ahead 5 MW Off-Peak Futures,ERCOT North 345 kV Hub 日前 5 MW 非高峰期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ESB,European Low Sulphur Gasoil Brent Crack Spread BALMO Futures,欧洲低硫柴油布伦特裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ESS,Low Sulphur Gasoil Crack Spread (1000mt) BALMO Financial Futures,低硫柴油裂解价差（1000吨）BALMO金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EUB,ERCOT South 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day Futures,ERCOT South 345 kV Hub 日前 5 MW 峰值日历日期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EVC,Singapore Fuel Oil 380 cst (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,新加坡燃油 380 cst（普氏）与欧洲 3.5% 燃油驳船 FOB Rdam（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EWB,East-West Fuel Oil Spread (Platts) BALMO Futures,东西方燃油价差（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EWG,East-West Gasoline Spread (Platts-Argus) Futures,东西方汽油价差（普氏-阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EWN,East-West Naphtha: Japan C&F vs. Cargoes CIF NWE Spread (Platts) Futures,东西石脑油：日本 C&F 与货物 CIF NWE 价差（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,EXR,"RBOB Gasoline vs. Euro-bob Oxy NWE Barges (Argus) (350,000 gallons) Futures","RBOB 汽油与 Euro-bob Oxy NWE 驳船（阿格斯）（350,000 加仑）期货",能源,17:00-16:00 (周日-周五),future,us,
NYMEX,F3,Jet Fuel Cargoes CIF NWE (Platts) BALMO Futures,航空燃油货物 CIF NWE（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FAL,MISO Indiana Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures,MISO 印第安纳枢纽日前非高峰日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FBD,FAME 0 Biodiesel FOB Rdam (Argus) (RED Compliant) Futures,FAME 0 生物柴油 FOB Rdam (Argus)（符合 RED 标准）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FCB,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread BALMO Futures,3.5% 燃油驳船 FOB Rdam (Platts) 裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FCN,Daily European 1% Fuel Oil Cargoes FOB NWE (Platts) Futures,每日欧洲 1% 燃油货物 FOB NWE (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FEW,East-West Fuel Oil Spread (Platts) Futures,东西方燃料油价差（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FLB,LPG Freight Route Middle East to Japan (BLPG1) (Baltic) BALMO Futures,中东至日本液化石油气货运航线（BLPG1）（波罗的海）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FLJ,LPG Freight Route US Gulf to Japan (BLPG3) (Baltic) Futures,液化石油气货运航线美国海湾至日本 (BLPG3)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FLP,LPG Freight Route Middle East to Japan (BLPG1) (Baltic) Futures,中东至日本液化石油气货运航线（BLPG1）（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FO,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread Futures,3.5% 燃油驳船 FOB Rdam (Platts) 裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FOA,3.5% Fuel Oil Cargoes FOB MED (Platts) Crack Spread BALMO Futures,3.5% 燃料油货物 FOB MED（普氏能源资讯）裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FOM,1% Fuel Oil Cargoes FOB MED (Platts) BALMO Futures,1% 燃油货物 FOB MED (Platts) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FOR,Daily European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,每日欧洲 3.5% 燃料油驳船 FOB Rdam (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FRC,Freight Route US Gulf to Continent (TC14) (Baltic) Futures,货运路线 美国海湾至大陆 (TC14)（波罗的海）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FRS,Freight Route West Coast India to Japan (TC12) (Baltic) Futures,货运路线 印度西海岸至日本 (TC12) (波罗的海) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FSS,1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,1% 燃油货物 FOB NWE（普氏能源资讯）与 3.5% 燃油驳船 FOB Rdam（普氏能源资讯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FTL,MISO Indiana Hub Real-Time Off-Peak Calendar-Day 5 MW Futures,MISO 印第安纳中心实时非高峰日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,FVB,1.0% Fuel Oil Cargoes FOB NWE (Platts) Crack Spread (1000mt) Futures,1.0% 燃料油货物 FOB NWE（普氏）裂解价差（1000 吨）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GBB,Gulf Coast Unl 87 Gasoline M2 (Platts) vs. RBOB Gasoline BALMO Futures,墨西哥湾沿岸 Unl 87 汽油 M2（普氏能源资讯）与 RBOB 汽油 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GBR,Daily Gasoline Euro-bob Oxy NWE Barges (Argus) Futures,每日汽油 Euro-bob Oxy NWE 驳船（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GCB,Gulf Coast HSFO (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,墨西哥湾沿岸 HSFO（普氏）与欧洲 3.5% 燃油驳船 FOB Rdam（普氏）BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GCG,Gulf Coast CBOB Gasoline A2 (Platts) Crack Spread Futures,墨西哥湾沿岸 CBOB 汽油 A2（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GCI,Gulf Coast HSFO (Platts) Brent Crack Spread Futures,墨西哥湾沿岸 HSFO（普氏）布伦特原油裂缝价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GCM,Gulf Coast Unl 87 Gasoline M2 (Platts) Futures,墨西哥湾沿岸 Unl 87 汽油 M2（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GCU,Gulf Coast HSFO (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,墨西哥湾沿岸 HSFO（普氏能源资讯）与欧洲 3.5% 燃油驳船 FOB Rdam（普氏能源资讯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GDL,Singapore Gasoil (Platts) Dubai (Platts) Crack Spread Futures,新加坡柴油 (Platts) 迪拜 (Platts) 裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GEO,CBL Global Emissions Offset Futures,CBL 全球排放抵消期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GES,Gasoline Eurobob Non-Oxy NWE Barges (Argus) vs Gasoline Eurobob Oxy NWE Barges (Argus) Futures,汽油 Eurobob 非氧气 NWE 驳船（阿格斯）与汽油 Eurobob 氧气 NWE 驳船（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GFC,Gulf Coast HSFO (Platts) Crack Spread BALMO Futures,墨西哥湾沿岸 HSFO（普氏能源资讯）裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GKS,Gasoline 10 ppm FOB MED (Platts) Crack Spread Futures,汽油 10 ppm FOB MED（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GMB,Singapore Gasoil (Platts) vs. Singapore Marine Fuel 0.5% (Platts) Spread BALMO Futures,新加坡柴油（普氏能源资讯）与新加坡船用燃料 0.5%（普氏能源资讯）价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GMS,Singapore Gasoil (Platts) vs. Singapore Marine Fuel 0.5% (Platts) Spread Futures,新加坡柴油 (Platts) 与新加坡船用燃料 0.5% (Platts) 价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GNB,Gasoline Eurobob Non-Oxy NWE Bargues (Argus) BALMO Futures,汽油 Eurobob 非含氧 NWE Bargues (Argus) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GNL,NYISO Zone G Day-Ahead Peak Calendar-Day 5 MW Futures,NYISO G 区日前峰值日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GNO,Gasoline Eurobob Non-Oxy NWE Barges (Argus) Futures,汽油 Eurobob 无氧 NWE 驳船（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GNS,Gasoline Eurobob Non-Oxy NWE Barges (Argus) Crack Spread Futures,汽油 Eurobob 无氧 NWE 驳船（阿格斯）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GOC,Low Sulphur Gasoil Crack Spread (1000mt) Financial Futures,低硫柴油裂解价差（1000吨）金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GSW,Guernsey Light Sweet (EMDA) Monthly Futures,根西岛轻质糖 (EMDA) 月度期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GUD,Gulf Coast ULSD (Argus) Up-Down BALMO Futures,墨西哥湾沿岸 ULSD（阿格斯）上下 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GWT,Guernsey Light Sweet (EMDA) vs. WTI Trade Month Futures,根西岛轻质低硫原油 (EMDA) 与 WTI 贸易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GY,Gulf Coast ULSD (Platts) Crack Spread Futures,墨西哥湾沿岸 ULSD（普氏能源资讯）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,GZ,European Low Sulphur Gasoil Brent Crack Spread Futures,欧洲低硫柴油布伦特裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,H2L,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,ISO 新英格兰 Mass Hub 日前非高峰日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,H5B,USGC Marine Fuel 0.5% Barges (Platts) BALMO Futures,USGC 船用燃料 0.5% 驳船 (Platts) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,H5F,USGC Marine Fuel 0.5% Barges (Platts) Futures,USGC 船用燃料 0.5% 驳船 (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,H5G,USGC Marine Fuel 0.5% Barges (Platts) vs. Gulf Coast HSFO (Platts) Futures,USGC 船用燃料 0.5% 驳船 (Platts) 与墨西哥湾沿岸 HSFO (Platts) 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,H5L,MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Peak Calendar-Month 5 MW Futures,MISO 印第安纳中心（原 Cinergy 中心）日前峰值日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HBX,WTI Houston (Argus) vs. Brent Cross-Month Futures,WTI 休斯顿（阿格斯）与布伦特跨月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HCS,WTI Semi-Annual Financial Futures,WTI 半年度金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HHT,Henry Hub Natural Gas Look-Alike Last Day Financial TAS,亨利中心天然气相似的最后一天金融 TAS,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HHW,Henry Hub Natural Gas Weekly Futures,亨利中心天然气每周期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HIA,WTI Houston (Argus) Financial Futures,WTI 休斯顿（阿格斯）金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HIL,WTI Houston (Argus) vs. WTI Financial Futures,WTI 休斯顿 (阿格斯) 与 WTI 金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HJC,Jet Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil Futures,喷气货运 CIF NWE（普氏能源资讯）与低硫柴油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HLT,HLS (Argus) vs. WTI Trade Month Futures,HLS（阿格斯）与 WTI 交易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HOA,MISO Michigan Hub 5 MW Off-Peak Calendar-Month Day-Ahead Futures,MISO 密歇根中心 5 兆瓦非高峰历月日前期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HOB,NY Harbor ULSD Brent Crack Spread Futures,纽约港 ULSD 布伦特原油裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HOL,NY Harbor ULSD London Tradable Marker,纽约港 ULSD 伦敦可交易标记,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HP,Natural Gas (Henry Hub) Penultimate Financial Futures,天然气（亨利港）倒数第二个金融期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HPD,HDPE High Density Polyethylene (PCW) BALMO Futures,HDPE 高密度聚乙烯 (PCW) BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HPE,HDPE High Density Polyethylene (PCW) Financial Futures,HDPE High Density Polyethylene (PCW) Financial Futures,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HTA,WTI Houston (Argus) Trade Month Futures,WTI Houston (Argus) Trade Month Futures,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HTB,WTI Houston (Argus) vs. WTI Trade Month BALMO Futures,WTI 休斯顿 (阿格斯) 与 WTI 交易月 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HTT,WTI Houston (Argus) vs. WTI Trade Month Futures,WTI 休斯顿 (阿格斯) 与 WTI 交易月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HVG,HVO FOB ARA Range (Class II) (Argus) vs Low Sulphur Gasoil Futures,HVO FOB ARA 范围（II 类）（阿格斯）与低硫柴油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HVO,HVO FOB ARA Range (Class II) (Argus) Futures,HVO FOB ARA 系列（II 类）（阿格斯）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,HWA,MISO Michigan Hub 5 MW Peak Calendar-Month Day-Ahead Futures,MISO 密歇根中心 5 兆瓦峰值历月日前期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,IBS,Brent (Singapore Marker) Futures,布伦特（新加坡基准）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,IDL,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures,ISO 新英格兰 Mass Hub 日前非高峰日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ITB,Italian Power Baseload (GME) Calendar Month Futures,意大利电力基本负荷 (GME) 日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,ITP,Italian Power Peakload (GME) Calendar Month Futures,意大利电力峰值负荷 (GME) 日历月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,J4L,PJM Western Hub Day-Ahead Peak Calendar-Month 5 MW Futures,PJM Western Hub 日前峰值日历月 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JA,Japan C&F Naphtha (Platts) Futures,日本 C&F 石脑油（普氏）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JBK,Japanese Power (Day-Ahead) Kansai Base-Load Futures,日本电力（日前）关西基本负荷期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JCC,Japan Crude Cocktail (Detailed) Futures,日本混合原油（详细）期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JDL,PJM Western Hub Real-Time Peak Calendar-Day 5 MW Futures,PJM Western Hub 实时峰值日历日 5 兆瓦期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JE,EIA Flat Tax U.S. Retail Gasoline Futures,EIA 统一税美国零售汽油期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JET,NY Buckeye Jet Fuel (Platts) vs. NY Harbor ULSD Futures,纽约七叶树喷气燃料（普氏）与纽约港 ULSD 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JFB,Jet Fuel Cargoes CIF NWE (Platts) Crack Spread BALMO Futures,航空燃油货物 CIF NWE（普氏能源资讯）裂解价差 BALMO 期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JFC,Jet Fuel Cargoes CIF NWE (Platts) Crack Spread Futures,航空燃油货物 CIF NWE（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JKB,LNG Japan/Korea Marker (Platts) Back Half Month Futures,液化天然气日本/韩国市场指数（普氏）后半个月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JKF,LNG Japan/Korea Marker (Platts) Front Half Month Futures,液化天然气日本/韩国市场指数 (Platts) 前半个月期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JKY,Mini LNG Japan/Korea Marker (Platts) Yen Denominated Futures,小型液化天然气日本/韩国标记（普氏）日元计价期货,能源,17:00-16:00 (周日-周五),future,us,
NYMEX,JNC,Japan C&F Naphtha Dubai (Platts) Crack Spread Futures,日本 C&F 石脑油迪拜（普氏）裂解价差期货,能源,17:00-16:00 (周日-周五),future,us,
